time,x,y,z
1.60545E+12,2.454,2.328,9.094
1.60545E+12,2.473,2.347,9.075
1.60545E+12,2.454,2.366,9.036
1.60545E+12,2.435,2.366,9.017
1.60545E+12,2.454,2.404,9.055
1.60545E+12,2.435,2.366,8.998
1.60545E+12,2.416,2.366,8.96
1.60545E+12,2.416,2.366,8.96
1.60545E+12,2.396,2.347,8.96
1.60545E+12,2.435,2.366,8.998
1.60545E+12,2.416,2.347,9.017
1.60545E+12,2.454,2.404,9.055
1.60545E+12,2.473,2.366,9.075
1.60545E+12,2.492,2.366,9.094
1.60545E+12,2.492,2.366,9.094
1.60545E+12,2.511,2.347,9.094
1.60545E+12,2.511,2.366,9.075
1.60545E+12,2.55,2.347,9.036
1.60545E+12,2.511,2.328,9.017
1.60545E+12,2.511,2.328,9.017
1.60545E+12,2.473,2.328,9.017
1.60545E+12,2.454,2.347,8.998
1.60545E+12,2.454,2.347,8.998
1.60545E+12,2.454,2.328,9.036
1.60545E+12,2.454,2.328,8.998
1.60545E+12,2.435,2.308,8.998
1.60545E+12,2.454,2.347,9.017
1.60545E+12,2.454,2.347,9.017
1.60545E+12,2.454,2.347,8.979
1.60545E+12,2.454,2.347,9.017
1.60545E+12,2.435,2.347,9.017
1.60545E+12,2.454,2.366,9.017
1.60545E+12,2.492,2.385,8.979
1.60545E+12,2.473,2.347,8.998
1.60545E+12,2.492,2.385,9.017
1.60545E+12,2.511,2.366,8.998
1.60545E+12,2.473,2.404,9.036
1.60545E+12,2.511,2.385,9.075
1.60545E+12,2.511,2.366,9.036
1.60545E+12,2.492,2.385,9.055
1.60545E+12,2.473,2.366,9.075
1.60545E+12,2.473,2.366,8.998
1.60545E+12,2.473,2.328,8.998
1.60545E+12,2.473,2.328,9.055
1.60545E+12,2.492,2.289,8.998
1.60545E+12,2.473,2.308,9.017
1.60545E+12,2.473,2.289,8.998
1.60545E+12,2.492,2.328,9.017
1.60545E+12,2.492,2.347,9.036
1.60545E+12,2.53,2.385,9.055
1.60545E+12,2.511,2.385,9.055
1.60545E+12,2.511,2.366,9.055
1.60545E+12,2.492,2.385,8.998
1.60545E+12,2.492,2.404,9.036
1.60545E+12,2.473,2.366,8.998
1.60545E+12,2.435,2.347,9.036
1.60545E+12,2.416,2.347,9.036
1.60545E+12,2.435,2.328,8.979
1.60545E+12,2.396,2.328,8.998
1.60545E+12,2.416,2.328,8.979
1.60545E+12,2.435,2.328,9.017
1.60545E+12,2.416,2.328,8.979
1.60545E+12,2.435,2.347,9.036
1.60545E+12,2.454,2.328,9.055
1.60545E+12,2.454,2.289,9.094
1.60545E+12,2.492,2.328,9.017
1.60545E+12,2.53,2.328,9.075
1.60545E+12,2.511,2.366,9.055
1.60545E+12,2.53,2.385,9.036
1.60545E+12,2.55,2.385,9.036
1.60545E+12,2.588,2.366,8.998
1.60545E+12,2.55,2.404,8.979
1.60545E+12,2.511,2.366,8.96
1.60545E+12,2.511,2.366,8.96
1.60545E+12,2.492,2.404,8.941
1.60545E+12,2.492,2.385,8.998
1.60545E+12,2.473,2.366,8.979
1.60545E+12,2.435,2.366,8.979
1.60545E+12,2.435,2.385,8.979
1.60545E+12,2.396,2.347,9.075
1.60545E+12,2.396,2.366,9.075
1.60545E+12,2.416,2.347,9.075
1.60545E+12,2.396,2.347,9.075
1.60545E+12,2.416,2.385,9.075
1.60545E+12,2.435,2.385,9.036
1.60545E+12,2.454,2.347,9.017
1.60545E+12,2.435,2.347,8.998
1.60545E+12,2.492,2.385,8.998
1.60545E+12,2.454,2.366,9.017
1.60545E+12,2.473,2.347,9.036
1.60545E+12,2.492,2.347,9.017
1.60545E+12,2.492,2.328,9.055
1.60545E+12,2.492,2.347,9.055
1.60545E+12,2.511,2.347,9.055
1.60545E+12,2.511,2.366,9.055
1.60545E+12,2.492,2.366,9.017
1.60545E+12,2.492,2.404,9.017
1.60545E+12,2.473,2.404,8.979
1.60545E+12,2.492,2.404,8.979
1.60545E+12,2.473,2.366,9.055
1.60545E+12,2.454,2.366,8.998
1.60545E+12,2.435,2.347,9.017
1.60545E+12,2.416,2.366,9.017
1.60545E+12,2.396,2.366,9.055
1.60545E+12,2.435,2.366,9.055
1.60545E+12,2.416,2.366,9.036
1.60545E+12,2.454,2.366,9.055
1.60545E+12,2.435,2.385,9.017
1.60545E+12,2.416,2.404,9.036
1.60545E+12,2.435,2.385,8.998
1.60545E+12,2.435,2.404,8.998
1.60545E+12,2.473,2.442,8.921
1.60545E+12,2.435,2.385,8.96
1.60545E+12,2.454,2.404,8.96
1.60545E+12,2.473,2.385,8.998
1.60545E+12,2.511,2.423,9.036
1.60545E+12,2.492,2.404,8.998
1.60545E+12,2.454,2.404,9.055
1.60545E+12,2.454,2.366,9.017
1.60545E+12,2.435,2.385,9.036
1.60545E+12,2.416,2.366,9.055
1.60545E+12,2.416,2.366,9.017
1.60545E+12,2.416,2.347,9.055
1.60545E+12,2.396,2.366,8.979
1.60545E+12,2.396,2.366,8.998
1.60545E+12,2.396,2.385,9.017
1.60545E+12,2.416,2.366,8.998
1.60545E+12,2.435,2.385,9.036
1.60545E+12,2.416,2.385,9.017
1.60545E+12,2.416,2.385,9.036
1.60545E+12,2.454,2.366,8.998
1.60545E+12,2.454,2.366,9.036
1.60545E+12,2.473,2.404,8.998
1.60545E+12,2.454,2.385,9.017
1.60545E+12,2.454,2.385,8.998
1.60545E+12,2.492,2.366,8.979
1.60545E+12,2.473,2.366,9.017
1.60545E+12,2.473,2.366,9.017
1.60545E+12,2.473,2.366,8.998
1.60545E+12,2.473,2.347,9.017
1.60545E+12,2.473,2.404,9.036
1.60545E+12,2.435,2.404,8.998
1.60545E+12,2.416,2.347,9.036
1.60545E+12,2.435,2.385,9.075
1.60545E+12,2.396,2.366,9.017
1.60545E+12,2.416,2.347,8.998
1.60545E+12,2.416,2.385,9.017
1.60545E+12,2.416,2.347,9.017
1.60545E+12,2.454,2.366,9.017
1.60545E+12,2.473,2.385,9.075
1.60545E+12,2.435,2.423,9.055
1.60545E+12,2.435,2.404,9.036
1.60545E+12,2.473,2.423,9.075
1.60545E+12,2.454,2.366,9.036
1.60545E+12,2.473,2.347,9.017
1.60545E+12,2.454,2.347,8.979
1.60545E+12,2.454,2.366,8.998
